step	pg0
0	0.0
1	1.178219e-06
2	2.332876e-06
3	3.463971e-06
4	4.571504e-06
5	5.655475e-06
6	6.715884000000001e-06
7	7.752731000000001e-06
8	8.766016000000001e-06
9	9.755738999999999e-06
10	1.07219e-05
11	1.1664499e-05
12	1.2583536e-05
13	1.3479011e-05
14	1.4350924e-05
15	1.5199275000000002e-05
16	1.6024064000000003e-05
17	1.6825291000000002e-05
18	1.7602956000000007e-05
19	1.8357059000000002e-05
20	1.90876e-05
21	1.9794579e-05
22	2.0477996000000002e-05
23	2.1137851e-05
24	2.1774144e-05
25	2.2386875e-05
26	2.2976044000000002e-05
27	2.3541651000000005e-05
28	2.4083696000000004e-05
29	2.4602179000000002e-05
30	2.50971e-05
31	2.5568459000000002e-05
32	2.6016256e-05
33	2.6440490999999997e-05
34	2.6841163999999995e-05
35	2.7218274999999998e-05
36	2.7571824e-05
37	2.7901811000000005e-05
38	2.8208236e-05
39	2.8491099e-05
40	2.87504e-05
41	2.8986139000000004e-05
42	2.9198316000000005e-05
43	2.9386931000000006e-05
44	2.9551984000000004e-05
45	2.9693475e-05
46	2.981140400000001e-05
47	2.9905771000000005e-05
48	2.9976576e-05
49	3.0023819e-05
50	3.0047500000000003e-05
51	3.0047619e-05
52	3.0024175999999997e-05
53	2.9977171000000002e-05
54	2.9906604e-05
55	2.9812475e-05
56	2.9694784e-05
57	2.9553531000000002e-05
58	2.9388716000000006e-05
59	2.9200339000000006e-05
60	2.8988400000000002e-05
61	2.8752899e-05
62	2.8493836000000003e-05
63	2.8211211000000005e-05
64	2.7905024e-05
65	2.7575275e-05
66	2.7221964e-05
67	2.6845090999999993e-05
68	2.6444656e-05
69	2.6020659000000008e-05
70	2.5573100000000008e-05
71	2.5101979e-05
72	2.4607296e-05
73	2.4089051000000006e-05
74	2.3547244000000004e-05
75	2.2981875000000003e-05
76	2.2392944e-05
77	2.1780451000000002e-05
78	2.1144395999999996e-05
79	2.0484778999999997e-05
80	1.9801599999999997e-05
81	1.9094858999999993e-05
82	1.836455600000001e-05
83	1.7610691000000006e-05
84	1.6833264000000005e-05
85	1.6032275000000004e-05
86	1.5207724e-05
87	1.4359611e-05
88	1.3487936000000002e-05
89	1.2592698999999998e-05
90	1.1673899999999997e-05
91	1.0731538999999997e-05
92	9.765615999999996e-06
93	8.776130999999994e-06
94	7.763084000000007e-06
95	6.726475000000006e-06
96	5.666304000000005e-06
97	4.582571000000003e-06
98	3.4752760000000023e-06
99	2.344419000000001e-06
