step	mAP50(B)
0	0.84805
1	0.89924
2	0.86816
3	0.85593
4	0.85908
5	0.85783
6	0.86135
7	0.86079
8	0.81915
9	0.85327
10	0.8524
11	0.88649
12	0.88922
13	0.88398
14	0.88001
15	0.87903
16	0.88057
17	0.88057
18	0.85986
19	0.85986
20	0.85711
21	0.85711
22	0.85794
23	0.85794
24	0.86006
25	0.86006
26	0.85744
27	0.85744
28	0.8568
29	0.8568
30	0.85718
31	0.85718
32	0.85522
33	0.85522
34	0.85539
35	0.85539
36	0.84752
37	0.84752
38	0.84712
39	0.84712
40	0.84699
41	0.84699
42	0.76369
43	0.76369
44	0.61312
45	0.61312
46	0.54963
47	0.54963
48	0.53757
49	0.53757
50	0.53033
51	0.53033
52	0.53033
53	0.52902
54	0.52902
55	0.52902
56	0.51782
57	0.51782
58	0.51782
59	0.51858
60	0.51858
61	0.51858
62	0.51857
63	0.51857
64	0.51857
65	0.52009
66	0.52009
67	0.52009
68	0.51941
69	0.51941
70	0.51941
71	0.51957
72	0.51957
73	0.51957
74	0.51791
75	0.51791
76	0.51791
77	0.52954
78	0.52954
79	0.52954
80	0.5304
81	0.5304
82	0.5304
83	0.52821
84	0.52821
85	0.52821
86	0.52821
87	0.53555
88	0.53555
89	0.53555
90	0.53555
91	0.52645
92	0.52645
93	0.52645
94	0.52645
95	0.51721
96	0.51721
97	0.51721
98	0.51721
99	0.51245
