step	mAP50-95(B)
0	0.63237
1	0.63725
2	0.63674
3	0.6345
4	0.62822
5	0.62772
6	0.6297
7	0.629
8	0.60891
9	0.62105
10	0.62193
11	0.64062
12	0.62546
13	0.62653
14	0.62584
15	0.6254
16	0.62631
17	0.62631
18	0.61529
19	0.61529
20	0.61417
21	0.61417
22	0.60172
23	0.60172
24	0.60208
25	0.60208
26	0.60572
27	0.60572
28	0.59994
29	0.59994
30	0.59784
31	0.59784
32	0.59351
33	0.59351
34	0.58982
35	0.58982
36	0.58822
37	0.58822
38	0.5826
39	0.5826
40	0.58561
41	0.58561
42	0.50584
43	0.50584
44	0.36751
45	0.36751
46	0.30848
47	0.30848
48	0.31528
49	0.31528
50	0.30801
51	0.30801
52	0.30801
53	0.28273
54	0.28273
55	0.28273
56	0.27882
57	0.27882
58	0.27882
59	0.28798
60	0.28798
61	0.28798
62	0.2824
63	0.2824
64	0.2824
65	0.28284
66	0.28284
67	0.28284
68	0.26147
69	0.26147
70	0.26147
71	0.26231
72	0.26231
73	0.26231
74	0.27526
75	0.27526
76	0.27526
77	0.26418
78	0.26418
79	0.26418
80	0.2808
81	0.2808
82	0.2808
83	0.27486
84	0.27486
85	0.27486
86	0.27486
87	0.24242
88	0.24242
89	0.24242
90	0.24242
91	0.25056
92	0.25056
93	0.25056
94	0.25056
95	0.27596
96	0.27596
97	0.27596
98	0.27596
99	0.28012
