step	precision(B)
0	0.58565
1	0.63691
2	0.58932
3	0.57296
4	0.57177
5	0.57102
6	0.56929
7	0.58153
8	0.56432
9	0.5586
10	0.57671
11	0.58288
12	0.60006
13	0.59477
14	0.59148
15	0.59326
16	0.8316
17	0.8316
18	0.82895
19	0.82895
20	0.62897
21	0.62897
22	0.63842
23	0.63842
24	0.63386
25	0.63386
26	0.64862
27	0.64862
28	0.65983
29	0.65983
30	0.65926
31	0.65926
32	0.66229
33	0.66229
34	0.65948
35	0.65948
36	0.64007
37	0.64007
38	0.6627
39	0.6627
40	0.6648
41	0.6648
42	0.74971
43	0.74971
44	0.59894
45	0.59894
46	0.57916
47	0.57916
48	0.59353
49	0.59353
50	0.7729
51	0.7729
52	0.7729
53	0.77669
54	0.77669
55	0.77669
56	0.77183
57	0.77183
58	0.77183
59	0.78376
60	0.78376
61	0.78376
62	0.78375
63	0.78375
64	0.78375
65	0.78429
66	0.78429
67	0.78429
68	0.78267
69	0.78267
70	0.78267
71	0.80786
72	0.80786
73	0.80786
74	0.82482
75	0.82482
76	0.82482
77	0.84403
78	0.84403
79	0.84403
80	0.83798
81	0.83798
82	0.83798
83	0.85333
84	0.85333
85	0.85333
86	0.85333
87	0.85821
88	0.85821
89	0.85821
90	0.85821
91	0.87029
92	0.87029
93	0.87029
94	0.87029
95	0.81417
96	0.81417
97	0.81417
98	0.81417
99	0.88937
