step	dfl_loss
0	1.28612
1	1.64501
2	1.61424
3	1.2762
4	1.62636
5	1.21799
6	1.76581
7	1.81848
8	1.4914
9	1.62506
10	1.35666
11	1.56935
12	1.36253
13	1.51256
14	1.5062
15	1.40489
16	1.40609
17	1.27718
18	1.50842
19	1.58313
20	1.48346
21	1.36195
22	1.48194
23	1.21607
24	1.07215
25	1.39593
26	1.30138
27	1.26556
28	1.56507
29	1.37505
30	1.6677
31	1.42863
32	1.23467
33	1.47356
34	1.0664
35	1.22064
36	1.63222
37	1.13284
38	0.964
39	1.32621
40	1.11482
41	1.22656
42	1.14997
43	1.37318
44	1.24925
45	1.23336
46	1.52682
47	1.29669
48	1.19501
49	1.19577
50	1.18763
51	1.13702
52	1.12519
53	1.28273
54	1.07203
55	1.34235
56	1.11763
57	1.26615
58	1.17535
59	1.19337
60	1.00815
61	0.97343
62	1.33043
63	1.24064
64	1.15508
65	1.1755
66	1.25233
67	1.14201
68	1.20376
69	1.03897
70	1.10561
71	1.04682
72	1.18765
73	1.20386
74	1.08051
75	1.0254
76	1.11243
77	1.24073
78	1.15353
79	1.02097
80	1.40375
81	1.32249
82	1.30742
83	1.10376
84	1.34294
85	1.12864
86	1.6321
87	1.07542
88	1.36141
89	1.25178
90	0.94309
91	0.83034
92	0.96255
93	1.02848
94	1.05229
95	1.22967
96	0.99006
97	1.09644
98	0.91578
99	1.0082
